Dataset_ID,N,D,Variance,Entropy,Law,SR_Runtime_Sec,Default_Acc,Default_F1,Default_AUC,Default_Inference_Time,DHPO_Acc,DHPO_F1,DHPO_AUC,DHPO_Inference_Time
3,1600,38,37.297381624302844,0.9987722337845677,(x0 - 1*(-3.9165065))/(x0 + 4.4021316 - 0.48425514*(-1.62509616506557/x1)),20.25883412361145,0.975,0.9749592026311166,0.9986728766025642,0.2621941566467285,0.9775,0.9774682352941175,0.9981470352564102,0.4798412322998047
31,800,50,47.46954711249216,0.8812908992306927,-(x0*0.21896304/(x1*x1) - 0.738379) - 0.2989333*1/(x0*(x0 + x0)),3.072600841522217,0.715,0.6947145877378437,0.7626190476190475,0.269301176071167,0.74,0.7226666666666667,0.775892857142857,0.28082776069641113
1461,1600,42,41.664890757784335,0.5400449149880645,-1*(-0.88861585) + 0.049848963*(x0 + x1)/((-2.0543091)*x0*x1),2.785597801208496,0.8825,0.8553108320251178,0.8927263212977499,0.26680564880371094,0.8725,0.8456998432123148,0.8969707541136112,0.26889753341674805
